date,price_usd
2025-07-01,107132.80
2025-07-02,105613.40
2025-07-03,108824.44
2025-07-04,109602.20
2025-07-05,108040.89
2025-07-06,108217.47
2025-07-07,109215.20
2025-07-08,108300.72
2025-07-09,108953.19
2025-07-10,111327.53
2025-07-11,115879.65
2025-07-12,117571.03
2025-07-13,117418.96
2025-07-14,119117.56
2025-07-15,119833.67
2025-07-16,117678.19
2025-07-17,118748.16
2025-07-18,119445.37
2025-07-19,117988.95
2025-07-20,117901.63
2025-07-21,117256.92
2025-07-22,117482.47
2025-07-23,119955.80
2025-07-24,118629.06
2025-07-25,118354.44
2025-07-26,117540.81
2025-07-27,117959.54
2025-07-28,119418.91
2025-07-29,118003.30
2025-07-30,117853.31
2025-07-31,117833.24
2025-08-01,115700.00
2025-08-02,113234.61
2025-08-03,112554.90
2025-08-04,114199.11
2025-08-05,115138.69
2025-08-06,114128.35
2025-08-07,115022.10
2025-08-08,117463.47
2025-08-09,116688.37
2025-08-10,116510.08
2025-08-11,119266.93
2025-08-12,118773.80
2025-08-13,120202.53
2025-08-14,123560.99
2025-08-15,118405.60
2025-08-16,117339.79
2025-08-17,117501.22
2025-08-18,117542.84
2025-08-19,116256.41
2025-08-20,112778.34
2025-08-21,114252.40
2025-08-22,112414.40
2025-08-23,116834.25
2025-08-24,115359.98
2025-08-25,113399.55
2025-08-26,110185.35
2025-08-27,111842.71
2025-08-28,111216.08
2025-08-29,112525.60
2025-08-30,108480.31
2025-08-31,108781.96
2025-09-01,108253.36
2025-09-02,109162.69
2025-09-03,111190.18
2025-09-04,111711.52
2025-09-05,110724.74
2025-09-06,110662.18
2025-09-07,110209.19
2025-09-08,111131.99
2025-09-09,112025.13
2025-09-10,111547.44
2025-09-11,113975.32
2025-09-12,115503.17
2025-09-13,116160.14
2025-09-14,115970.58
2025-09-15,115373.56
2025-09-16,115397.25
2025-09-17,116762.85
2025-09-18,116455.95
2025-09-19,117145.50
2025-09-20,115655.81
2025-09-21,115715.52
2025-09-22,115304.48
2025-09-23,112696.74
