date,tvl_usd
2025-07-01,346398299.00
2025-07-02,335330425.00
2025-07-03,354937440.00
2025-07-04,358806208.00
2025-07-05,347391693.00
2025-07-06,348941454.00
2025-07-07,356657447.00
2025-07-08,350956975.00
2025-07-09,357481380.00
2025-07-10,379816295.00
2025-07-11,421116823.00
2025-07-12,426201053.00
2025-07-13,424743848.00
2025-07-14,428809288.00
2025-07-15,434570930.00
2025-07-16,457643149.00
2025-07-17,494245876.00
2025-07-18,509172411.00
2025-07-19,512063065.00
2025-07-20,516935324.00
2025-07-21,539364276.00
2025-07-22,544948701.00
2025-07-23,539108718.00
2025-07-24,522249187.00
2025-07-25,532115676.00
2025-07-26,537081552.00
2025-07-27,541486297.00
2025-07-28,558601116.00
2025-07-29,546579376.00
2025-07-30,547870750.00
2025-07-31,549727826.00
2025-08-01,532799854.00
2025-08-02,493030479.00
2025-08-03,483515165.00
2025-08-04,495574183.00
2025-08-05,521556616.00
2025-08-06,509307117.00
2025-08-07,519928822.00
2025-08-08,553461713.00
2025-08-09,570201639.00
2025-08-10,607593955.00
2025-08-11,605617697.00
2025-08-12,607321911.00
2025-08-13,654723717.00
2025-08-14,677007324.00
2025-08-15,659153863.00
2025-08-16,639736692.00
2025-08-17,638571087.00
2025-08-18,642468754.00
2025-08-19,621619369.00
2025-08-20,592323126.00
2025-08-21,622524620.00
2025-08-22,609955876.00
2025-08-23,692619795.00
2025-08-24,689055365.00
2025-08-25,677373910.00
2025-08-26,614514703.00
2025-08-27,652402059.00
2025-08-28,636376075.00
2025-08-29,637423118.00
2025-08-30,616241172.00
2025-08-31,617751980.00
2025-09-01,619410827.00
2025-09-02,604175789.00
2025-09-03,603214022.00
2025-09-04,621457006.00
2025-09-05,605112354.00
2025-09-06,601809483.00
2025-09-07,597841801.00
2025-09-08,599116116.00
2025-09-09,598640151.00
2025-09-10,598573901.00
2025-09-11,604401191.00
2025-09-12,619743118.00
2025-09-13,654559620.00
2025-09-14,650409962.00
2025-09-15,643872317.00
2025-09-16,629866961.00
2025-09-17,625769354.00
2025-09-18,637078213.00
2025-09-19,637862253.00
2025-09-20,621666699.00
2025-09-21,622770004.00
2025-09-22,603518798.00
2025-09-23,569683457.00
2025-09-23,559738635.00
