date,vol_annualized
2025-08-01,0.4472
2025-08-02,0.4433
2025-08-03,0.4628
2025-08-04,0.4737
2025-08-05,0.4608
2025-08-06,0.4818
2025-08-07,0.4955
2025-08-08,0.4915
2025-08-09,0.5087
2025-08-10,0.4923
2025-08-11,0.4919
2025-08-12,0.4932
2025-08-13,0.4934
2025-08-14,0.5373
2025-08-15,0.5401
2025-08-16,0.5622
2025-08-17,0.5440
2025-08-18,0.5399
2025-08-19,0.5392
2025-08-20,0.5554
2025-08-21,0.5727
2025-08-22,0.5971
2025-08-23,0.6026
2025-08-24,0.7004
2025-08-25,0.7020
2025-08-26,0.7023
2025-08-27,0.7543
2025-08-28,0.7612
2025-08-29,0.7618
2025-08-30,0.7618
2025-08-31,0.7697
2025-09-01,0.7630
2025-09-02,0.7377
2025-09-03,0.7359
2025-09-04,0.7332
2025-09-05,0.7186
2025-09-06,0.7215
2025-09-07,0.7204
2025-09-08,0.7023
2025-09-09,0.6991
2025-09-10,0.6766
2025-09-11,0.6765
2025-09-12,0.6767
2025-09-13,0.6322
2025-09-14,0.6450
2025-09-15,0.6316
2025-09-16,0.6273
2025-09-17,0.6299
2025-09-18,0.6289
2025-09-19,0.6202
2025-09-20,0.5938
2025-09-21,0.5747
2025-09-22,0.5694
2025-09-23,0.4101
