date,price_usd
2025-07-01,2488.19
2025-07-02,2405.10
2025-07-03,2574.07
2025-07-04,2590.13
2025-07-05,2509.24
2025-07-06,2517.38
2025-07-07,2571.36
2025-07-08,2543.63
2025-07-09,2615.78
2025-07-10,2772.58
2025-07-11,2948.45
2025-07-12,2958.85
2025-07-13,2942.96
2025-07-14,2974.27
2025-07-15,3012.18
2025-07-16,3133.07
2025-07-17,3368.13
2025-07-18,3481.88
2025-07-19,3547.32
2025-07-20,3594.32
2025-07-21,3758.61
2025-07-22,3765.45
2025-07-23,3746.94
2025-07-24,3630.05
2025-07-25,3708.43
2025-07-26,3723.05
2025-07-27,3742.43
2025-07-28,3864.12
2025-07-29,3786.30
2025-07-30,3788.60
2025-07-31,3807.42
2025-08-01,3696.66
2025-08-02,3483.18
2025-08-03,3397.49
2025-08-04,3497.57
2025-08-05,3715.71
2025-08-06,3612.44
2025-08-07,3684.05
2025-08-08,3911.26
2025-08-09,4012.98
2025-08-10,4265.56
2025-08-11,4253.59
2025-08-12,4228.82
2025-08-13,4606.81
2025-08-14,4763.65
2025-08-15,4554.29
2025-08-16,4430.53
2025-08-17,4426.83
2025-08-18,4487.12
2025-08-19,4317.28
2025-08-20,4074.50
2025-08-21,4330.49
2025-08-22,4224.44
2025-08-23,4829.23
2025-08-24,4773.88
2025-08-25,4778.11
2025-08-26,4381.63
2025-08-27,4602.37
2025-08-28,4500.15
2025-08-29,4507.56
2025-08-30,4364.36
2025-08-31,4373.36
2025-09-01,4388.93
2025-09-02,4303.20
2025-09-03,4325.86
2025-09-04,4449.87
2025-09-05,4298.09
2025-09-06,4306.61
2025-09-07,4273.11
2025-09-08,4304.03
2025-09-09,4309.69
2025-09-10,4309.34
2025-09-11,4347.48
2025-09-12,4459.32
2025-09-13,4708.84
2025-09-14,4667.70
2025-09-15,4609.79
2025-09-16,4524.24
2025-09-17,4504.27
2025-09-18,4591.77
2025-09-19,4590.64
2025-09-20,4470.48
2025-09-21,4481.80
2025-09-22,4452.87
2025-09-23,4199.95
